"PAYS","variable","value"
"Bosnie","CA94",0
"Burkina Faso","CA94",0
"Cambodge","CA94",1
"Chili","CA94",0
"Colombie","CA94",0
"Egypte","CA94",0
"Guinée","CA94",0
"Haiti","CA94",0
"Inde","CA94",1
"Irak","CA94",0
"Irlande","CA94",0
"Mali","CA94",0
"Mauritanie","CA94",0
"Norvège","CA94",0
"Palestine","CA94",0
"Pays-Bas","CA94",0
"Sénégal","CA94",0
"Singapour","CA94",0
"Suisse","CA94",0
"Tchad","CA94",0
"Thailande","CA94",0
"Ukraine","CA94",0
"Albanie","CA94",0
"Bangladesh","CA94",0
"Bolivie","CA94",0
"Bulgarie","CA94",0
"Croatie","CA94",0
"Cuba","CA94",0
"Géorgie","CA94",0
"Islande","CA94",0
"Kazakhstan","CA94",0
"Kenya","CA94",0
"Liban","CA94",0
"Lituanie","CA94",0
"Malaisie","CA94",0
"Maroc","CA94",0
"Perou","CA94",0
"République Tchèque","CA94",0
"Slovaquie","CA94",0
"Slovénie","CA94",0
"Sri Lanka","CA94",0
"Uruguay","CA94",0
"Venezuela","CA94",0
"France","CA95",3
"Etats-Unis","CA95",6
"Royaume-Uni","CA95",4
"Italie","CA95",1
"Japon","CA95",1
"Chine","CA95",1
"Russie","CA95",0
"Canada","CA95",0
"Corée du Sud","CA95",0
"Taiwan","CA95",0
"Danemark","CA95",0
"Mexique","CA95",1
"Belgique","CA95",1
"Espagne","CA95",0
"Australie","CA95",0
"Autriche","CA95",0
"Israel","CA95",0
"Allemagne","CA95",0
"Argentine","CA95",0
"Iran","CA95",0
"Portugal","CA95",1
"Turquie","CA95",0
"Brésil","CA95",0
"Hong-Kong","CA95",0
"Roumanie","CA95",1
"Finlande","CA95",0
"Grèce","CA95",1
"Hongrie","CA95",0
"Serbie","CA95",1
"Suède","CA95",0
"Nouvelle-Zélande","CA95",0
"Philippines","CA95",0
"Pologne","CA95",0
"Afrique du Sud","CA95",0
"Algérie","CA95",0
"Bosnie","CA95",0
"Burkina Faso","CA95",0
"Cambodge","CA95",0
"Chili","CA95",0
"Colombie","CA95",0
"Egypte","CA95",0
"Guinée","CA95",0
"Haiti","CA95",0
"Inde","CA95",0
"Irak","CA95",0
"Irlande","CA95",0
"Mali","CA95",1
"Mauritanie","CA95",0
"Norvège","CA95",0
"Palestine","CA95",0
"Pays-Bas","CA95",0
"Sénégal","CA95",0
"Singapour","CA95",0
"Suisse","CA95",0
"Tchad","CA95",0
